var_name,interpretation
age35_female_workpop_ratio_rural,ratio of females aged 35-39 in the working population in rural areas
age40_female_workpop_ratio_rural,ratio of females aged 40-44 in the working population in rural areas
age15_number_urban_males,number of males aged 15-19 in the population in urban areas
age35_popmale,number of males aged 35-39 in the population
age20_popmale,number of males aged 20-24 in the population
age65_number_rural_males,number of males aged 65-69 in the population in rural areas
age50_number_rural_females,number of females aged 50-54 in the population in rural areas
age45_number_rural_males,number of males aged 45-49 in the population in rural areas
age10_number_urban_males,number of males aged 10-14 in the population in urban areas
age15_number_urban_females,number of females aged 15-19 in the population in urban areas
age45_workpop_ratio,ratio of people aged 45-49 in the working population
age35_popfemale,number of females aged 35-39 in the population
age65_number_rural_females,number of females aged 65-69 in the population in rural areas
age30_popratio_female,ratio of females aged 30-34 in the population
age30_workpop_ratio_rural,ratio of females aged 30-34 in the working population in rural areas
age45_female_workpop_ratio,ratio of females aged 45-49 in the working population
age5_number_urban_males,number of males aged 5-9 in the population in urban areas
age30_female_workpop_ratio_rural,ratio of females aged 30-34 in the working population in urban areas
age0_num_students,number of students aged 0-4 in schools
age10_number_urban_females,number of females aged 10-14 in the population in urban areas
age10_num_students,number of students aged 10-14 in schools
age35_male_workpop_ratio,ratio of males aged 35-39 in the working population
age5_number_urban_females,number of females aged 5-9 in the population in urban areas
age30_ratio_of_urban_males,ratio of males aged 30-34 in the population in urban areas
age20_workpop_ratio,ratio of people aged 20-24 in the working population
age45_male_workpop_ratio,ratio of males aged 45-49 in the working population
age25_workpop_ratio_rural,ratio of people aged 25-29 in the working population
age25_popfemale,number of females aged 25-29 in the population
age50_number_rural_males,number of males aged 50-54 in the population in rural areas
age0_number_urban_males,number of males aged 0-4 in the population in urban areas
age60_number_rural_males,number of males aged 60-64 in the population in rural areas
age55_number_rural_females,number of people aged 55-59 in the population in rural areas
age30_popmale,number of males aged 30-34 in the population
age0_number_urban_females,number of females aged 0-4 in the population in urban areas
age25_male_workpop_ratio_rural,ratio of males aged 25-29 in the working population in rural areas
age25_popmale,number of males aged 25-29 in the population
age40_male_workpop_ratio,ratio of males aged 40-44 in the working population
age55_workpop_ratio_urban,ratio of people aged 55-59 in the working population
total_popfemale,total number of females in the population
pop_female_total,total number of females in the population
age30_popfemale,number of females aged 30-34 in the population
pop_total,total number of people in the population
age20_male_workpop_ratio,ratio of males aged 20-24 in the working population
age50_workpop_ratio,ratio of males aged 50-54 in the working population
age20_male_workpop_ratio_rural,ratio of males aged 20-24 in the working population in rural areas
age55_female_workpop_ratio_urban,ratio of females aged 55-59 in the working population in urban areas
age65_num_teachers,number of teachers aged 65-69
total_popmale,total number of males in the population
pop_male_total,total number of males in the population
age60_number_rural_females,number of females aged 60-64 in the population in rural areas
age50_female_workpop_ratio,ratio of females aged 50-54 in the working population
age25_female_workpop_ratio_rural,ratio of females aged 25-29 in the working population in rural areas
age55_number_rural_males,number of males aged 55-59 in the population in rural areas
total_urbanratio_female,number of females in the population in urban areas divided by total number of females
total_urbanratio_male,number of males in the population in urban areas divided by total number of males
